ID,entityname,SchoolAddress,Coords,Lat,Long
9,Harold Colbert Jones Memorial,"""220 E 15th St, Chicago Heights IL, 60411""","""41.5040851,-87.6279098""",41.5040851,-87.6279098
30,Bibleway Apostolic Faith Church,"""1807 S Kostner, Chicago IL, 60651""","""41.85664,-87.73436099999998""",41.85664,-87.73436099999998
42,New Direction Empowerment,"""1260 W 103rd St, Chicago IL, 60643""","""41.7070011,-87.65491680000002""",41.7070011,-87.65491680000002
46,New Direction Empowerment,"""2747 W 71st St, Chicago IL, 60629""","""41.7643123,-87.69245949999998""",41.7643123,-87.69245949999998
50,New Direction Empowerment,"""4946 S Vincennes Ave, Chicago IL, 60615""","""41.804436,-87.61424799999998""",41.804436,-87.61424799999998
56,New Life Community Ministries,"""101 W 10th St, Chicago Heights IL, 60411""","""41.5141874,-87.64418869999997""",41.5141874,-87.64418869999997
60,New Life Community Ministries,"""2100 N Kildare, Chicago IL, 60639""","""41.9190836,-87.73428619999999""",41.9190836,-87.73428619999999
64,New Life Community Ministries,"""7800 S Racine Ave, Chicago IL, 60620""","""41.7522957,-87.6538104""",41.7522957,-87.6538104
68,New Life Community Ministries,"""10724 S Ewing Ave, Chicago IL, 60617""","""41.700115,-87.5356749""",41.700115,-87.5356749
72,New Life Community Ministries,"""2700 W Wilcox St, Chicago IL, 60612""","""41.8795353,-87.69418309999998""",41.8795353,-87.69418309999998
76,New Life Community Ministries,"""4821 W Chicago Ave, Chicago IL, 60651""","""41.894697,-87.74664200000001""",41.894697,-87.74664200000001
80,New Life Community Ministries,"""4540 W Washington Blvd, Chicago IL, 60624""","""41.8822932,-87.73945479999998""",41.8822932,-87.73945479999998
84,New Life Community Ministries,"""6334 W Diversey, Chicago IL, 60639""","""41.9312477,-87.78479419999996""",41.9312477,-87.78479419999996
88,New Life Community Ministries,"""2145 N Maplewood Ave, Chicago IL, 60647""","""41.9206431,-87.69109930000002""",41.9206431,-87.69109930000002
92,New Life Community Ministries,"""1254 E 75th St, Chicago IL, 60619""","""41.75889799999999,-87.59358199999997""",41.75889799999999,-87.59358199999997
96,New Life Community Ministries,"""718 S Independence Blvd, Chicago IL, 60624""","""41.871977,-87.72074299999997""",41.871977,-87.72074299999997
100,New Life Community Ministries,"""5022 W Madison St, Chicago IL, 60644""","""41.8807938,-87.75115590000001""",41.8807938,-87.75115590000001
104,New Life Community Ministries,"""3555 West Huron, Chicago IL, 60624""","""41.8936145,-87.7154458""",41.8936145,-87.7154458
108,New Life Community Ministries,"""2431 W Roosevelt Rd, Chicago IL, 60608""","""41.8663785,-87.6873205""",41.8663785,-87.6873205
112,Faith Miracle Temple Church,"""4258 W Iowa St, Chicago IL, 60651""","""41.897343,-87.73334""",41.897343,-87.73334
116,Chicago Youth Centers,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
239,Greater Chicago Food Depository,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
118,Abundant Favor Worship Ctr,"""5841 W. Division, Chicago IL, 60651""","""41.9018735,-87.7721297""",41.9018735,-87.7721297
144,Arts 4 Students,"""1309 W 95th St, Chicago IL, 60643""","""41.7203832,-87.65590099999997""",41.7203832,-87.65590099999997
148,New Life In Christ Ministry,"""2930 W Flournoy St, Chicago IL, 60612""","""41.8730649,-87.69987120000002""",41.8730649,-87.69987120000002
152,Boys and Girls Clubs of Chicago,"""2801 S Ridgeway Ave, Chicago IL, 60623""","""41.8404766,-87.71796719999998""",41.8404766,-87.71796719999998
154,Boys and Girls Clubs of Chicago,"""2950 W Washington Blvd, Chicago IL, 60612""","""41.8832676,-87.70091719999999""",41.8832676,-87.70091719999999
156,Boys and Girls Clubs of Chicago,"""4835 N Sheridan Rd, Chicago IL, 60640""","""41.970286,-87.654608""",41.970286,-87.654608
158,Boys and Girls Clubs of Chicago,"""3400 S Emerald Ave, Chicago IL, 60616""","""41.83223479999999,-87.64529499999998""",41.83223479999999,-87.64529499999998
160,Boys and Girls Clubs of Chicago,"""3228 W Palmer St, Chicago IL, 60647""","""41.9213915,-87.70866319999999""",41.9213915,-87.70866319999999
162,Boys and Girls Clubs of Chicago,"""2102 W Monroe St, Chicago IL, 60612""","""41.8802362,-87.67960949999997""",41.8802362,-87.67960949999997
164,Boys and Girls Clubs of Chicago,"""2950 W 25th St, Chicago IL, 60623""","""41.8466755,-87.6997551""",41.8466755,-87.6997551
166,Boys and Girls Clubs of Chicago,"""1425 W 112th, Chicago IL, 60643""","""41.6900796,-87.65800739999997""",41.6900796,-87.65800739999997
168,Chinese American Service League,"""2141 S Tan Ct, Chicago IL, 60616""","""41.8543913,-87.6355797""",41.8543913,-87.6355797
170,Gads Hill,"""1919 W Cullerton St, Chicago IL, 60608""","""41.8549438,-87.67423789999998""",41.8549438,-87.67423789999998
172,Catholic Charities of Archdioces,"""1021 E 83rd St, Chicago IL, 60619""","""41.7437801,-87.599489""",41.7437801,-87.599489
176,Catholic Charities of Archdioces,"""2831 W Lawrence Ave, Chicago IL, 60625""","""41.9683531,-87.6999257""",41.9683531,-87.6999257
180,Catholic Charities of Archdioces,"""9231 S Cottage Grove, Chicago IL, 60619""","""41.726546,-87.60410139999999""",41.726546,-87.60410139999999
184,Catholic Charities of Archdioces,"""2653 W Ogden, Chicago IL, 60608""","""41.8617788,-87.69294660000003""",41.8617788,-87.69294660000003
185,Catholic Charities of Archdioces,"""50 W 71st St, Chicago IL, 60621""","""41.7657111,-87.6271413""",41.7657111,-87.6271413
187,Catholic Charities of Archdioces,"""5332 S Western Ave, Chicago IL, 60609""","""41.7966922,-87.68452479999996""",41.7966922,-87.68452479999996
191,Catholic Charities of Archdioces,"""3110 W Armitage, Chicago IL, 60647""","""41.91775920000001,-87.7060366""",41.91775920000001,-87.7060366
195,Catholic Charities of Archdioces,"""8959 S Commercial, Chicago IL, 60617""","""41.7321302,-87.55092000000002""",41.7321302,-87.55092000000002
199,Catholic Charities of Archdioces,"""2400 S Kedzie, Chicago IL, 60623""","""41.8479397,-87.7055135""",41.8479397,-87.7055135
205,Catholic Charities of Archdioces,"""6844 S Indiana, Chicago IL, 60637""","""41.76969810000001,-87.62060500000001""",41.76969810000001,-87.62060500000001
209,Catholic Charities of Archdioces,"""6435 W Belmont, Chicago IL, 60634""","""41.938004,-87.78755089999999""",41.938004,-87.78755089999999
211,Catholic Charities of Archdioces,"""8235 S South Shore Dr, Chicago IL, 60617""","""41.7450071,-87.54744349999999""",41.7450071,-87.54744349999999
213,Catholic Charities of Archdioces,"""3643 W Belmont, Chicago IL, 60618""","""41.93901839999999,-87.71895""",41.93901839999999,-87.71895
214,Catholic Charities of Archdioces,"""6216 N Clark St, Chicago IL, 60660""","""41.9948935,-87.6704411""",41.9948935,-87.6704411
218,Catholic Charities of Archdioces,"""10623 S Halsted St, Chicago IL, 60628""","""41.700726,-87.64225899999997""",41.700726,-87.64225899999997
222,Catholic Charities of Archdioces,"""2121 N Keeler Ave, Chicago IL, 60639""","""41.91952149999999,-87.7309143""",41.91952149999999,-87.7309143
229,Greater Chicago Food Depository,"""1240 S Pulaski, Chicago IL, 60623""","""41.8652136,-87.7254663""",41.8652136,-87.7254663
230,Greater Chicago Food Depository,"""10420 S Halsted, Chicago IL, 60628""","""41.7044396,-87.64324799999997""",41.7044396,-87.64324799999997
231,Greater Chicago Food Depository,"""2020 S Blue Island Ave, Chicago IL, 60608""","""41.854586,-87.66429500000004""",41.854586,-87.66429500000004
232,Greater Chicago Food Depository,"""6200 W Bloomingdale Ave, Chicago IL, 60639""","""41.9133813,-87.78027480000003""",41.9133813,-87.78027480000003
233,Greater Chicago Food Depository,"""5437 W Division St, Chicago IL, 60651""","""41.902013,-87.76243310000001""",41.902013,-87.76243310000001
234,Greater Chicago Food Depository,"""4438 W Wrightwood Ave, Chicago IL, 60639""","""41.928971,-87.73810630000003""",41.928971,-87.73810630000003
235,Greater Chicago Food Depository,"""3501 N Kilbourn Ave, Chicago IL, 60641""","""41.9446117,-87.73945809999998""",41.9446117,-87.73945809999998
236,Greater Chicago Food Depository,"""2732 N Avers Ave, Chicago IL, 60647""","""41.9315116,-87.7237361""",41.9315116,-87.7237361
237,Greater Chicago Food Depository,"""3147 W Douglas Blvd, Chicago IL, 60623""","""41.8622899,-87.70494869999999""",41.8622899,-87.70494869999999
116,Chicago Youth Centers,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
239,Greater Chicago Food Depository,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
240,Greater Chicago Food Depository,"""2424 W Touhy Ave, Chicago IL, 60645""","""42.0126471,-87.69152880000001""",42.0126471,-87.69152880000001
241,Greater Chicago Food Depository,"""3039 E 91st St, Chicago IL, 60617""","""41.7297841,-87.5491606""",41.7297841,-87.5491606
242,Greater Chicago Food Depository,"""2700 S Western Ave, Chicago IL, 60608""","""41.8439281,-87.686306""",41.8439281,-87.686306
243,Greater Chicago Food Depository,"""500 S Central Ave, Chicago IL, 60644""","""41.8737893,-87.76496129999998""",41.8737893,-87.76496129999998
