,id,ada2015,ada2016,adp2015,averagedailyparticipation2016,chicago2015,chicago2016,claimcalendarmonth2015,claimcalendaryear2015,claimcalendaryear2016,daysclaimed2015,daysclaimed2016,eligibleforfreeandreduced2016,eligibles2015,enrol2015,enrol2016,federalfiscalyear2015,freeandreducedmealcount2016,freeeligibles2016,freemealcount2016,mealcount2015,paideligibles2016,paidmealcount2016,programyear2015,programyear2016,reducedeligibles2016,reducedmealcount2016,sitenumber2015,sitenumber2016,sitezipplus42016,statefiscalyear2015,zip2015,zipplus42015,fulladdress2015_x,fulladdress2016_x,fulladdress2015_y,fulladdress2016_y,fulladdress2015,fulladdress2016,id_adr,Input,Coordinates,Lat,Lng
0,10698,111.0,89.0,16.761904761904763,33.29065934,1.0,1.0,6.714285714285714,2014.6190476190477,2015.625,16.952380952380953,11.125,68.0,47.333333333333336,124.38095238095238,94.875,2015.0,366.125,66.125,365.875,274.6666666666667,0.0,0.0,2015.047619047619,2016.0,1.875,0.25,10698.0,10698.0,2532.0,2015.095238095238,60620.0,2532.0,"7901 S Sangamon St, Chicago IL, 60620","7901 S Sangamon St, Chicago IL, 60620","7901 S Sangamon St, Chicago IL, 60620","7901 S Sangamon St, Chicago IL, 60620","7901 S Sangamon St, Chicago IL, 60620","7901 S Sangamon St, Chicago IL, 60620","7901ssangamonst,chicagoil,60620","7901 S Sangamon St, Chicago IL, 60620","41.7503284,-87.64707349999998",41.7503284,-87.64707349999998
1,10702,1020.4545454545455,1019.125,147.4090909090909,289.455244125,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.818181818181817,19.0,1088.375,724.2352941176471,1119.2727272727273,1088.375,2015.0,5408.25,1088.375,5408.25,2525.8636363636365,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,10702.0,10702.0,3162.0,2015.1818181818182,60659.0,3162.0,"3900 W Peterson Ave, Chicago IL, 60659","3900 W Peterson Ave, Chicago IL, 60659","3900 W Peterson Ave, Chicago IL, 60659","3900 W Peterson Ave, Chicago IL, 60659","3900 W Peterson Ave, Chicago IL, 60659","3900 W Peterson Ave, Chicago IL, 60659","3900wpetersonave,chicagoil,60659","3900 W Peterson Ave, Chicago IL, 60659","41.9908915,-87.72756849999996",41.9908915,-87.72756849999996
2,10704,494.5,471.25,20.566666666666666,47.982607252499996,1.0,1.0,6.5,2014.7,2015.625,17.4,18.25,151.625,182.7,529.1,510.125,2015.0,868.0,118.75,809.25,367.8333333333333,360.875,120.5,2015.1,2016.0,32.875,58.75,10704.0,10704.0,4602.0,2015.2,60618.0,4602.0,"3633 N California Ave, Chicago IL, 60618","3633 N California Ave, Chicago IL, 60618","3633 N California Ave, Chicago IL, 60618","3633 N California Ave, Chicago IL, 60618","3633 N California Ave, Chicago IL, 60618","3633 N California Ave, Chicago IL, 60618","3633ncaliforniaave,chicagoil,60618","3633 N California Ave, Chicago IL, 60618","41.9480946,-87.6973069",41.9480946,-87.6973069
3,10705,82.0,32.857142857142854,9.166666666666666,12.657596371428571,1.0,1.0,6.888888888888889,2014.611111111111,2015.5714285714287,16.5,18.142857142857142,26.142857142857142,36.666666666666664,87.44444444444444,36.714285714285715,2015.0,229.0,26.142857142857142,229.0,155.55555555555554,0.0,0.0,2015.0555555555557,2016.0,0.0,0.0,10705.0,10705.0,2616.0,2015.111111111111,60615.0,2616.0,"4930 S Cottage Grove Ave, Chicago IL, 60615","4930 S Cottage Grove Ave, Chicago IL, 60615","4930 S Cottage Grove Ave, Chicago IL, 60615","4930 S Cottage Grove Ave, Chicago IL, 60615","4930 S Cottage Grove Ave, Chicago IL, 60615","4930 S Cottage Grove Ave, Chicago IL, 60615","4930scottagegroveave,chicagoil,60615","4930 S Cottage Grove Ave, Chicago IL, 60615","41.8049928,-87.60716439999999",41.8049928,-87.60716439999999
4,10722,124.83333333333333,96.0,24.833333333333332,34.65351890875,1.0,1.0,6.75,2014.6666666666667,2015.625,16.5,18.0,55.75,72.58333333333333,136.08333333333334,101.75,2015.0,622.375,55.75,622.375,409.4166666666667,0.0,0.0,2015.0833333333333,2016.0,0.0,0.0,10722.0,10722.0,6022.0,2015.1666666666667,60617.0,6022.0,"10155 S Ewing Ave, Chicago IL, 60617","10155 S Ewing Ave, Chicago IL, 60617","10155 S Ewing Ave, Chicago IL, 60617","10155 S Ewing Ave, Chicago IL, 60617","10155 S Ewing Ave, Chicago IL, 60617","10155 S Ewing Ave, Chicago IL, 60617","10155sewingave,chicagoil,60617","10155 S Ewing Ave, Chicago IL, 60617","41.7106001,-87.53468099999998",41.7106001,-87.53468099999998
5,10770,149.0,161.75,34.18181818181818,60.550059355,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.181818181818183,15.375,166.5,104.94117647058823,162.1818181818182,166.5,2015.0,1063.75,166.5,1063.75,560.8636363636364,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,10770.0,10770.0,6165.0,2015.1818181818182,60609.0,6165.0,"900 W Garfield Blvd, Chicago IL, 60609","900 W Garfield Blvd, Chicago IL, 60609","900 W Garfield Blvd, Chicago IL, 60609","900 W Garfield Blvd, Chicago IL, 60609","900 W Garfield Blvd, Chicago IL, 60609","900 W Garfield Blvd, Chicago IL, 60609","900wgarfieldblvd,chicagoil,60609","900 W Garfield Blvd, Chicago IL, 60609","41.7945273,-87.64799269999997",41.7945273,-87.64799269999997
6,10778,213.72727272727272,241.0,11.484848484848484,44.28266376625,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,15.636363636363637,18.25,178.625,82.21212121212122,227.27272727272728,251.625,2015.0,801.875,125.25,716.375,191.78787878787878,75.625,92.0,2015.090909090909,2016.0,53.375,85.5,10778.0,10778.0,3630.0,2015.1818181818182,60632.0,3630.0,"4839 S Harding Ave, Chicago IL, 60632","4839 S Harding Ave, Chicago IL, 60632","4839 S Harding Ave, Chicago IL, 60632","4839 S Harding Ave, Chicago IL, 60632","4839 S Harding Ave, Chicago IL, 60632","4839 S Harding Ave, Chicago IL, 60632","4839shardingave,chicagoil,60632","4839 S Harding Ave, Chicago IL, 60632","41.8047025,-87.72192029999997",41.8047025,-87.72192029999997
7,10781,160.8181818181818,174.5,15.5,27.262167827500004,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.181818181818183,17.875,186.75,115.23529411764706,178.0909090909091,186.75,2015.0,487.375,186.75,487.375,267.54545454545456,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,10781.0,10781.0,3414.0,2015.1818181818182,60623.0,3414.0,"2235 S Albany Ave, Chicago IL, 60623","2235 S Albany Ave, Chicago IL, 60623","2235 S Albany Ave, Chicago IL, 60623","2235 S Albany Ave, Chicago IL, 60623","2235 S Albany Ave, Chicago IL, 60623","2235 S Albany Ave, Chicago IL, 60623","2235salbanyave,chicagoil,60623","2235 S Albany Ave, Chicago IL, 60623","41.8504839,-87.70250429999999",41.8504839,-87.70250429999999
8,10793,189.41666666666666,209.5,38.541666666666664,80.49385504125,1.0,1.0,6.5,2014.75,2015.625,16.333333333333332,18.25,217.125,139.55555555555554,209.33333333333334,217.125,2015.0,1469.875,217.125,1469.875,648.4166666666666,0.0,0.0,2015.0833333333333,2016.0,0.0,0.0,10793.0,10793.0,3638.0,2015.25,60623.0,3638.0,"4223 W 25th St, Chicago IL, 60623","4223 W 25th St, Chicago IL, 60623","4223 W 25th St, Chicago IL, 60623","4223 W 25th St, Chicago IL, 60623","4223 W 25th St, Chicago IL, 60623","4223 W 25th St, Chicago IL, 60623","4223w25thst,chicagoil,60623","4223 W 25th St, Chicago IL, 60623","41.8457328,-87.73022889999999",41.8457328,-87.73022889999999
9,10794,247.72727272727272,253.75,111.72727272727273,185.57056513749998,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.09090909090909,18.875,279.0,163.72222222222223,267.90909090909093,279.0,2015.0,3510.375,279.0,3510.375,1813.3636363636363,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,10794.0,10794.0,4815.0,2015.1818181818182,60620.0,4815.0,"8734 S Paulina St, Chicago IL, 60620","8734 S Paulina St, Chicago IL, 60620","8734 S Paulina St, Chicago IL, 60620","8734 S Paulina St, Chicago IL, 60620","8734 S Paulina St, Chicago IL, 60620","8734 S Paulina St, Chicago IL, 60620","8734spaulinast,chicagoil,60620","8734 S Paulina St, Chicago IL, 60620","41.7346313,-87.6658114",41.7346313,-87.6658114
